Query_ID,Precision,Recall,F1,P@5,P@10,R-Precision,RR,DCG@20,nDCG@20,AP,Interpolated AP
1,0.0358,1.0,0.0692,0.0,0.0,0.0,0.0175,0,0.0,0.0327,0.0374
2,0.0155,1.0,0.0305,0.0,0.0,0.0,0.0127,0,0.0,0.0157,0.0192
3,0.0213,1.0,0.0417,0.0,0.0,0.0,0.0128,0,0.0,0.0253,0.0317
4,0.0223,1.0,0.0436,0.0,0.0,0.0,0.0078,0,0.0,0.0199,0.0259
5,0.0252,1.0,0.0491,0.2,0.1,0.0385,0.5,0.6309,0.0896,0.0544,0.0811
6,0.0126,1.0,0.0249,0.0,0.0,0.0,0.0061,0,0.0,0.0102,0.0132
7,0.0145,1.0,0.0286,0.0,0.0,0.0,0.0154,0,0.0,0.0142,0.0156
8,0.0106,1.0,0.0211,0.0,0.0,0.0,0.0169,0,0.0,0.0141,0.0157
9,0.0271,1.0,0.0528,0.0,0.0,0.0357,0.0357,0,0.0,0.0294,0.0319
10,0.0232,1.0,0.0454,0.0,0.0,0.0,0.04,0,0.0,0.0248,0.0276
11,0.0174,1.0,0.0343,0.0,0.0,0.0,0.0043,0,0.0,0.015,0.0186
12,0.0087,1.0,0.0173,0.0,0.0,0.0,0.0078,0,0.0,0.0086,0.0109
13,0.0203,1.0,0.0398,0.0,0.0,0.0,0.0111,0,0.0,0.0174,0.0237
14,0.0155,1.0,0.0305,0.0,0.0,0.0,0.027,0,0.0,0.0152,0.0183
15,0.0281,1.0,0.0546,0.0,0.0,0.0,0.02,0,0.0,0.0271,0.0313
16,0.0126,1.0,0.0249,0.0,0.0,0.0,0.0078,0,0.0,0.0139,0.0163
17,0.0203,1.0,0.0398,0.0,0.0,0.0,0.027,0,0.0,0.0202,0.0232
18,0.0145,1.0,0.0286,0.0,0.0,0.0,0.0098,0,0.0,0.0145,0.0168
19,0.0261,1.0,0.0509,0.0,0.0,0.0,0.0064,0,0.0,0.019,0.0262
20,0.0378,1.0,0.0728,0.0,0.0,0.0,0.0077,0,0.0,0.0359,0.0447
21,0.0261,1.0,0.0509,0.0,0.0,0.0,0.0278,0,0.0,0.0329,0.0374
22,0.0242,1.0,0.0473,0.0,0.0,0.0,0.0196,0,0.0,0.0306,0.0357
23,0.0378,1.0,0.0728,0.0,0.0,0.0,0.0074,0,0.0,0.0274,0.0381
24,0.0213,1.0,0.0417,0.0,0.0,0.0455,0.0833,0.2702,0.0384,0.0251,0.0286
25,0.0232,1.0,0.0454,0.0,0.0,0.0,0.0069,0,0.0,0.019,0.0241
26,0.0271,1.0,0.0528,0.0,0.0,0.0,0.0189,0,0.0,0.0262,0.0316
27,0.0174,1.0,0.0343,0.0,0.0,0.0,0.0238,0,0.0,0.0173,0.0203
28,0.0378,1.0,0.0728,0.0,0.0,0.0256,0.0312,0,0.0,0.0402,0.0452
29,0.0358,1.0,0.0692,0.0,0.0,0.0,0.0167,0,0.0,0.031,0.0406
30,0.0136,1.0,0.0267,0.0,0.0,0.0,0.0132,0,0.0,0.0132,0.0156
MEAN,0.0225,1.0,0.0438,0.0067,0.0033,0.0048,0.0348,0.03,0.0043,0.023,0.0282
