Query_ID,Precision,Recall,F1,Precision@5,Precision@10,R-Precision,Reciprocal_Rank,DCG@20,nDCG@20,Average_Precision,Interpolated_AP
1,0.0358,1.0,0.0692,1.0,0.8,0.7568,1.0,6.2055,0.8814,0.8233,0.8322
2,0.0155,1.0,0.0305,0.0,0.0,0.0,0.0196,0,0.0,0.0205,0.0237
3,0.0213,1.0,0.0417,0.0,0.0,0.0,0.0081,0,0.0,0.0272,0.0332
4,0.0223,1.0,0.0436,0.0,0.0,0.0,0.0103,0,0.0,0.0178,0.023
5,0.0252,1.0,0.0491,0.0,0.0,0.0,0.0099,0,0.0,0.024,0.0281
6,0.0126,1.0,0.0249,0.0,0.0,0.0,0.0042,0,0.0,0.0105,0.0127
7,0.0145,1.0,0.0286,0.0,0.0,0.0,0.0333,0,0.0,0.024,0.0259
8,0.0106,1.0,0.0211,0.0,0.0,0.0,0.0119,0,0.0,0.0132,0.0145
9,0.0271,1.0,0.0528,0.0,0.0,0.0,0.0127,0,0.0,0.0313,0.0359
10,0.0232,1.0,0.0454,0.0,0.0,0.0,0.013,0,0.0,0.0261,0.0296
11,0.0174,1.0,0.0343,0.0,0.0,0.0,0.0357,0,0.0,0.0606,0.0706
12,0.0087,1.0,0.0173,0.0,0.0,0.0,0.0065,0,0.0,0.0074,0.0093
13,0.0203,1.0,0.0398,0.0,0.0,0.0,0.0046,0,0.0,0.015,0.0208
14,0.0155,1.0,0.0305,0.0,0.0,0.0,0.0357,0,0.0,0.0248,0.0295
15,0.0281,1.0,0.0546,0.0,0.0,0.0,0.0108,0,0.0,0.0239,0.0297
16,0.0126,1.0,0.0249,0.0,0.0,0.0,0.04,0,0.0,0.0249,0.0305
17,0.0203,1.0,0.0398,0.0,0.0,0.0,0.0047,0,0.0,0.0152,0.0215
18,0.0145,1.0,0.0286,0.0,0.0,0.0,0.0159,0,0.0,0.0235,0.03
19,0.0261,1.0,0.0509,0.0,0.0,0.037,0.0526,0.2314,0.0329,0.0262,0.0309
20,0.0378,1.0,0.0728,0.0,0.0,0.0,0.0062,0,0.0,0.0299,0.0403
21,0.0261,1.0,0.0509,0.0,0.0,0.0,0.0045,0,0.0,0.0225,0.0289
22,0.0242,1.0,0.0473,0.0,0.0,0.0,0.0323,0,0.0,0.0392,0.0439
23,0.0378,1.0,0.0728,0.0,0.0,0.0,0.008,0,0.0,0.0315,0.0395
24,0.0213,1.0,0.0417,0.0,0.0,0.0,0.0116,0,0.0,0.016,0.022
25,0.0232,1.0,0.0454,0.0,0.0,0.0,0.0033,0,0.0,0.0173,0.024
26,0.0271,1.0,0.0528,0.0,0.0,0.0,0.0111,0,0.0,0.0249,0.0287
27,0.0174,1.0,0.0343,0.0,0.0,0.0,0.0123,0,0.0,0.0165,0.0191
28,0.0378,1.0,0.0728,0.0,0.0,0.0769,0.0476,0,0.0,0.0747,0.0841
29,0.0358,1.0,0.0692,0.0,0.0,0.0,0.0135,0,0.0,0.0277,0.0359
30,0.0136,1.0,0.0267,0.0,0.0,0.0,0.0263,0,0.0,0.0179,0.0208
Average,0.0228,1.0,0.0461,0.0333,0.0267,0.0276,0.0207,0.2075,0.0294,0.0282,0.0332

